"resp.id";"ques";"alt";"Price";"Brands";"Type";"Alcohol";"Age";"Sweetness";"label";"choice"
1;1;1;"Cheap";"La-Vis";"sparkling";"18 Perc";"1 year";"semi-dry";"DOC";1
1;1;2;"Popular";"La-Vis";"sparkling";"5.5 Perc";"5+ years";"sweet";"IGT";0
1;1;3;"Luxury";"La-Vis";"rose";"18 Perc";"3 years";"sweet";"DOCG";0
1;1;4;"Premium";"La-Vis";"sparkling";"18 Perc";"3 years";"semi-dry";"DOCG";0
1;2;1;"Cheap";"La-Vis";"white";"5.5 Perc";"3 years";"sweet";"IGT";0
1;2;2;"Cheap";"Toblino";"red";"5.5 Perc";"3 years";"dry";"DOCG";1
1;2;3;"Popular";"Mezzacorona";"red";"5.5 Perc";"5+ years";"sweet";"DOC";0
1;2;4;"Popular";"La-Vis";"white";"18 Perc";"1 year";"semi-sweet";"No designation";0
1;3;1;"Luxury";"La-Vis";"rose";"12 Perc";"5+ years";"semi-sweet";"No designation";1
1;3;2;"Premium";"Toblino";"red";"5.5 Perc";"3 years";"dry";"DOCG";0
1;3;3;"Premium";"Mezzacorona";"sparkling";"5.5 Perc";"5+ years";"sweet";"IGT";0
1;3;4;"Cheap";"Cavit";"rose";"18 Perc";"2 years";"semi-sweet";"DOC";0
1;4;1;"Premium";"Toblino";"sparkling";"12 Perc";"2 years";"semi-sweet";"No designation";0
1;4;2;"Cheap";"La-Vis";"white";"18 Perc";"1 year";"semi-dry";"No designation";0
1;4;3;"Popular";"Toblino";"white";"18 Perc";"4 years";"dry";"DOC";1
1;4;4;"Cheap";"Cavit";"sparkling";"12 Perc";"1 year";"semi-sweet";"No designation";0
1;5;1;"Luxury";"La-Vis";"red";"7 Perc";"5 years";"sweet";"IGT";0
1;5;2;"Cheap";"Toblino";"rose";"7 Perc";"1 year";"semi-dry";"DOCG";0
1;5;3;"Premium";"Toblino";"rose";"7 Perc";"5 years";"sweet";"DOCG";0
1;5;4;"Popular";"Cavit";"red";"18 Perc";"3 years";"dry";"No designation";1
1;6;1;"Premium";"La-Vis";"rose";"18 Perc";"2 years";"semi-sweet";"DOC";1
1;6;2;"Luxury";"Cavit";"red";"18 Perc";"1 year";"semi-sweet";"No designation";0
1;6;3;"Popular";"Toblino";"white";"5.5 Perc";"3 years";"semi-sweet";"No designation";0
1;6;4;"Premium";"Toblino";"white";"12 Perc";"1 year";"semi-sweet";"IGT";0
1;7;1;"Premium";"Cavit";"rose";"7 Perc";"1 year";"semi-sweet";"DOC";0
1;7;2;"Cheap";"Toblino";"rose";"5.5 Perc";"1 year";"dry";"No designation";1
1;7;3;"Luxury";"La-Vis";"rose";"12 Perc";"4 years";"semi-dry";"DOC";0
1;7;4;"Popular";"Toblino";"white";"7 Perc";"1 year";"semi-dry";"DOC";0
1;8;1;"Popular";"Toblino";"white";"12 Perc";"5 years";"semi-sweet";"DOC";0
1;8;2;"Popular";"Cavit";"sparkling";"12 Perc";"1 year";"semi-dry";"DOCG";0
1;8;3;"Luxury";"Toblino";"red";"12 Perc";"5 years";"semi-dry";"DOC";0
1;8;4;"Cheap";"La-Vis";"white";"18 Perc";"5 years";"semi-dry";"DOCG";1
1;9;1;"Premium";"La-Vis";"white";"18 Perc";"5+ years";"sweet";"DOCG";1
1;9;2;"Luxury";"La-Vis";"sparkling";"12 Perc";"5+ years";"sweet";"DOCG";0
1;9;3;"Popular";"Toblino";"white";"18 Perc";"5+ years";"sweet";"DOC";0
1;9;4;"Premium";"La-Vis";"white";"12 Perc";"1 year";"semi-sweet";"No designation";0
1;10;1;"Cheap";"Mezzacorona";"sparkling";"18 Perc";"1 year";"sweet";"IGT";0
1;10;2;"Cheap";"Cavit";"white";"12 Perc";"1 year";"sweet";"DOCG";0
1;10;3;"Premium";"Toblino";"rose";"12 Perc";"4 years";"sweet";"DOCG";1
1;10;4;"Cheap";"Toblino";"sparkling";"7 Perc";"5 years";"semi-dry";"DOCG";0
1;11;1;"Popular";"Toblino";"rose";"12 Perc";"3 years";"dry";"No designation";0
1;11;2;"Luxury";"La-Vis";"red";"7 Perc";"2 years";"semi-dry";"IGT";0
